State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,61401,0,0,1691,8393,309,null,null,0,42,231.2,0
Alabama,516918,402538,114380,2299,10542,10638,8389,2249,113,216,46.9,2.3
Arkansas,331098,0,0,1090,10972,5648,null,null,47,187,36.1,1.6
American Samoa,0,0,0,0,0,0,null,null,0,0,0,0
Arizona,844910,784860,60050,4418,11608,16990,15063,1927,73,233,60.7,1
California,3582463,0,0,17995,9067,58534,null,null,756,148,45.5,1.9
Colorado,468988,439872,29116,9627,8144,6126,5393,733,34,106,167.2,0.6
Connecticut,316655,291943,24712,8216,8882,7923,6512,1411,40,222,230.4,1.1
District of Columbia,45112,0,0,864,6392,1072,null,null,13,151,122.4,1.8
Delaware,96577,90741,5836,2175,9918,1566,1427,139,14,160,223.4,1.4
Florida,2046280,0,0,36872,9527,33710,null,null,463,156,171.7,2.2
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1065197,856340,208857,8776,10032,19212,16749,2463,250,180,82.7,2.4
Guam,7825,0,0,20,4720,136,null,null,2,82,12.1,1.2
Hawaii,29259,0,0,776,2066,464,null,null,5,32,54.8,0.4
Iowa,353548,0,0,3663,11206,5822,null,null,93,184,116.1,3
Idaho,181836,146078,35758,2073,10175,1972,1719,253,15,110,116,0.8
Illinois,1258736,1258736,0,19147,9933,23665,21384,2281,138,186,151.1,1.1
Indiana,691625,0,0,6892,10273,13075,12668,407,47,194,102.4,0.7
Kansas,303227,245180,58047,1365,10408,4927,null,null,30,169,46.9,1
Kentucky,429511,326642,102869,4178,9614,6171,5581,590,77,138,93.5,1.7
Louisiana,446737,0,0,2832,9610,10165,9312,853,43,218,60.9,0.9
Massachusetts,617863,607967,9896,13725,8964,17189,16981,208,191,249,199.1,2.8
Maryland,419055,0,0,9077,6932,8378,8192,186,105,138,150.1,1.7
Maine,52278,39841,12437,2025,3889,746,723,23,8,55,150.7,0.6
Michigan,779974,702499,77475,47036,7810,17282,16239,1043,122,173,471,1.2
Minnesota,527650,0,0,11042,9356,6963,6506,457,50,123,195.8,0.9
Missouri,580347,0,0,4037,9456,8508,null,null,13,138,65.8,0.2
Northern Mariana Islands,159,159,0,0,0,2,2,0,0,3,0,0
Mississippi,306158,187761,118397,1300,10287,7055,4886,2169,28,237,43.7,0.9
Montana,105142,97761,7381,979,9838,1466,1466,0,30,137,91.6,2.8
North Carolina,922560,795889,126671,11727,8796,12173,10752,1421,88,116,111.8,0.8
North Dakota,103974,97127,6847,1094,13644,1468,null,null,2,192,143.6,0.3
Nebraska,211958,0,0,3046,10957,2181,null,null,4,112,157.5,0.2
New Hampshire,86125,0,0,2785,6334,1249,null,null,12,91,204.8,0.9
New Jersey,930026,817464,112562,29753,10471,24649,22081,2568,245,277,335,2.8
New Mexico,192595,0,0,1365,9185,3953,null,null,28,188,65.1,1.3
Nevada,305357,0,0,2084,9914,5275,null,null,38,171,67.7,1.2
New York,1046102,0,0,27496,9463,18903,null,null,169,170,248.7,1.5
New York City,868970,720446,148524,25843,10346,31549,26463,5086,395,375,307.7,4.7
Ohio,1026929,869125,157804,13810,8785,18646,18646,0,116,159,118.1,1
Oklahoma,440142,348497,91645,1686,11123,6670,5651,1019,19,168,42.6,0.5
Oregon,167128,167128,0,2964,3962,2394,2394,0,19,56,70.3,0.5
Pennsylvania,1045400,888747,156653,30132,8166,25200,null,null,185,196,235.4,1.5
Puerto Rico,110022,99780,10242,3087,3445,2131,1814,317,19,66,96.7,0.6
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,139173,0,0,2292,13137,2629,null,null,9,248,216.4,0.9
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,555650,467608,88042,4874,10792,9209,null,null,63,178,94.7,1.2
South Dakota,118517,0,0,1181,13397,1938,1579,359,5,219,133.5,0.6
Tennessee,817022,677618,139404,7330,11964,11929,9575,2354,63,174,107.3,0.9
Texas,2794483,0,0,18074,9638,47749,null,null,580,164,62.3,2
Utah,387514,387514,0,2758,12087,2133,2073,60,78,66,86,2.4
Virginia,627605,489901,137704,9664,7353,10401,8716,1685,159,121,113.2,1.9
Virgin Islands,2945,0,0,38,2813,26,null,null,0,24,36.3,0
Vermont,20267,0,0,1265,3248,229,null,null,4,36,202.7,0.6
Washington,370017,0,0,7632,4859,5285,null,null,59,69,100.2,0.8
Wisconsin,639553,580184,59369,5100,10984,7341,6640,701,65,126,87.6,1.1
West Virginia,143733,113618,30115,2742,8020,2696,null,null,58,150,153,3.2
Wyoming,56529,47860,8669,339,9767,700,700,0,5,120,58.6,0.9
United States of America,30596830,14047429,2139462,444351,9216,554420,276276,32962,5287,167,133.8,1.6
